config_id,indicators_long,indicators_short,strategies,filters,strength,symbol,interval
trend_strong_5,"{""ema"": {""periods"": [3, 8, 21]}, ""macd"": {""fast"": 5, ""slow"": 13, ""signal"": 8}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [3, 8, 21]}, ""macd"": {""fast"": 5, ""slow"": 13, ""signal"": 8}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 3, ""ema_long"": 8}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 30}, ""market_regime"": {""trend_threshold"": 0.78}, ""min_checks"": 3, ""min_strength"": 80}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.0}, ""market_context_strength"": {""weight"": 1.5}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",BTCUSDT,5m
momentum_break_3,"{""rsi"": {""period"": 12}, ""stochastic"": {""k"": 12, ""d"": 3}, ""macd"": {""fast"": 6, ""slow"": 18, ""signal"": 7}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 12}, ""stochastic"": {""k"": 12, ""d"": 3}, ""macd"": {""fast"": 6, ""slow"": 18, ""signal"": 7}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 2.2}, ""range_breakout"": {""range_threshold"": 0.015}, ""overextended_reversal"": {""rsi_overbought"": 80, ""rsi_oversold"": 20}}","{""market_regime"": {""trend_threshold"": 0.7}, ""volatility_regime"": {""atr_threshold"": 1.6}, ""min_checks"": 3, ""min_strength"": 80}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.0}, ""market_context_strength"": {""weight"": 1.4}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
vol_break_3,"{""bollinger"": {""period"": 20, ""std"": 2.4}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 12}}","{""bollinger"": {""period"": 20, ""std"": 2.4}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 12}}","{""volatility_breakout"": {""atr_multiplier"": 2.4}, ""range_breakout"": {""range_threshold"": 0.016}}","{""volatility_regime"": {""atr_threshold"": 1.7}, ""market_regime"": {""trend_threshold"": 0.64}, ""min_checks"": 3, ""min_strength"": 85}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.4}, ""market_context_strength"": {""weight"": 1.5}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",BTCUSDT,5m
hybrid_3,"{""ema"": {""periods"": [3, 8]}, ""rsi"": {""period"": 12}, ""macd"": {""fast"": 6, ""slow"": 18, ""signal"": 7}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 14, ""multiplier"": 3.0}}","{""ema"": {""periods"": [3, 8]}, ""rsi"": {""period"": 12}, ""macd"": {""fast"": 6, ""slow"": 18, ""signal"": 7}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 14, ""multiplier"": 3.0}}","{""adaptive_trend"": {""lookback"": 30, ""volatility_factor"": 2.0}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 2.2}}","{""trend_strength"": {""min_adx"": 30}, ""volatility_regime"": {""atr_threshold"": 1.6}, ""market_regime"": {""trend_threshold"": 0.7}, ""min_checks"": 3, ""min_strength"": 80}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.2}, ""market_context_strength"": {""weight"": 1.5}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",SOLUSDT,5m
trend_strong_6,"{""ema"": {""periods"": [3, 5, 13]}, ""macd"": {""fast"": 5, ""slow"": 13, ""signal"": 7}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [3, 5, 13]}, ""macd"": {""fast"": 5, ""slow"": 13, ""signal"": 7}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 3, ""ema_long"": 5}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 32}, ""market_regime"": {""trend_threshold"": 0.8}, ""min_checks"": 3, ""min_strength"": 82}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.2}, ""market_context_strength"": {""weight"": 1.6}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
momentum_break_4,"{""rsi"": {""period"": 11}, ""stochastic"": {""k"": 11, ""d"": 3}, ""macd"": {""fast"": 5, ""slow"": 15, ""signal"": 6}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 11}, ""stochastic"": {""k"": 11, ""d"": 3}, ""macd"": {""fast"": 5, ""slow"": 15, ""signal"": 6}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 2.4}, ""range_breakout"": {""range_threshold"": 0.018}, ""overextended_reversal"": {""rsi_overbought"": 82, ""rsi_oversold"": 18}}","{""market_regime"": {""trend_threshold"": 0.72}, ""volatility_regime"": {""atr_threshold"": 1.7}, ""min_checks"": 3, ""min_strength"": 82}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.2}, ""market_context_strength"": {""weight"": 1.5}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",BTCUSDT,5m
vol_break_4,"{""bollinger"": {""period"": 20, ""std"": 2.6}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 11}}","{""bollinger"": {""period"": 20, ""std"": 2.6}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 11}}","{""volatility_breakout"": {""atr_multiplier"": 2.6}, ""range_breakout"": {""range_threshold"": 0.02}}","{""volatility_regime"": {""atr_threshold"": 1.8}, ""market_regime"": {""trend_threshold"": 0.66}, ""min_checks"": 3, ""min_strength"": 88}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.6}, ""market_context_strength"": {""weight"": 1.6}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
hybrid_4,"{""ema"": {""periods"": [3, 5]}, ""rsi"": {""period"": 11}, ""macd"": {""fast"": 5, ""slow"": 15, ""signal"": 6}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 16, ""multiplier"": 3.2}}","{""ema"": {""periods"": [3, 5]}, ""rsi"": {""period"": 11}, ""macd"": {""fast"": 5, ""slow"": 15, ""signal"": 6}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 16, ""multiplier"": 3.2}}","{""adaptive_trend"": {""lookback"": 35, ""volatility_factor"": 2.2}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 2.4}}","{""trend_strength"": {""min_adx"": 32}, ""volatility_regime"": {""atr_threshold"": 1.7}, ""market_regime"": {""trend_threshold"": 0.72}, ""min_checks"": 3, ""min_strength"": 82}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.4}, ""market_context_strength"": {""weight"": 1.6}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",BTCUSDT,5m
trend_strong_7,"{""ema"": {""periods"": [2, 4, 8]}, ""macd"": {""fast"": 4, ""slow"": 10, ""signal"": 6}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [2, 4, 8]}, ""macd"": {""fast"": 4, ""slow"": 10, ""signal"": 6}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 2, ""ema_long"": 4}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 35}, ""market_regime"": {""trend_threshold"": 0.82}, ""min_checks"": 3, ""min_strength"": 85}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.4}, ""market_context_strength"": {""weight"": 1.7}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",SOLUSDT,5m
momentum_break_5,"{""rsi"": {""period"": 10}, ""stochastic"": {""k"": 10, ""d"": 3}, ""macd"": {""fast"": 4, ""slow"": 12, ""signal"": 5}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 10}, ""stochastic"": {""k"": 10, ""d"": 3}, ""macd"": {""fast"": 4, ""slow"": 12, ""signal"": 5}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 2.6}, ""range_breakout"": {""range_threshold"": 0.02}, ""overextended_reversal"": {""rsi_overbought"": 85, ""rsi_oversold"": 15}}","{""market_regime"": {""trend_threshold"": 0.75}, ""volatility_regime"": {""atr_threshold"": 1.8}, ""min_checks"": 3, ""min_strength"": 85}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.4}, ""market_context_strength"": {""weight"": 1.6}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",ETHUSDT,5m
vol_break_5,"{""bollinger"": {""period"": 20, ""std"": 2.8}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 10}}","{""bollinger"": {""period"": 20, ""std"": 2.8}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 10}}","{""volatility_breakout"": {""atr_multiplier"": 2.8}, ""range_breakout"": {""range_threshold"": 0.022}}","{""volatility_regime"": {""atr_threshold"": 1.9}, ""market_regime"": {""trend_threshold"": 0.68}, ""min_checks"": 3, ""min_strength"": 90}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.8}, ""market_context_strength"": {""weight"": 1.7}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",BTCUSDT,5m
hybrid_5,"{""ema"": {""periods"": [2, 4]}, ""rsi"": {""period"": 10}, ""macd"": {""fast"": 4, ""slow"": 12, ""signal"": 5}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 18, ""multiplier"": 3.4}}","{""ema"": {""periods"": [2, 4]}, ""rsi"": {""period"": 10}, ""macd"": {""fast"": 4, ""slow"": 12, ""signal"": 5}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 18, ""multiplier"": 3.4}}","{""adaptive_trend"": {""lookback"": 40, ""volatility_factor"": 2.4}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 2.6}}","{""trend_strength"": {""min_adx"": 35}, ""volatility_regime"": {""atr_threshold"": 1.8}, ""market_regime"": {""trend_threshold"": 0.75}, ""min_checks"": 3, ""min_strength"": 85}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.6}, ""market_context_strength"": {""weight"": 1.7}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",SOLUSDT,5m
trend_strong_8,"{""ema"": {""periods"": [2, 3, 5]}, ""macd"": {""fast"": 3, ""slow"": 8, ""signal"": 5}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [2, 3, 5]}, ""macd"": {""fast"": 3, ""slow"": 8, ""signal"": 5}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 2, ""ema_long"": 3}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 38}, ""market_regime"": {""trend_threshold"": 0.85}, ""min_checks"": 3, ""min_strength"": 88}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.6}, ""market_context_strength"": {""weight"": 1.8}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
momentum_break_6,"{""rsi"": {""period"": 9}, ""stochastic"": {""k"": 9, ""d"": 3}, ""macd"": {""fast"": 3, ""slow"": 10, ""signal"": 4}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 9}, ""stochastic"": {""k"": 9, ""d"": 3}, ""macd"": {""fast"": 3, ""slow"": 10, ""signal"": 4}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 2.8}, ""range_breakout"": {""range_threshold"": 0.025}, ""overextended_reversal"": {""rsi_overbought"": 88, ""rsi_oversold"": 12}}","{""market_regime"": {""trend_threshold"": 0.78}, ""volatility_regime"": {""atr_threshold"": 1.9}, ""min_checks"": 3, ""min_strength"": 88}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.6}, ""market_context_strength"": {""weight"": 1.7}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",BTCUSDT,5m
vol_break_6,"{""bollinger"": {""period"": 20, ""std"": 3.0}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 9}}","{""bollinger"": {""period"": 20, ""std"": 3.0}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 9}}","{""volatility_breakout"": {""atr_multiplier"": 3.0}, ""range_breakout"": {""range_threshold"": 0.025}}","{""volatility_regime"": {""atr_threshold"": 2.0}, ""market_regime"": {""trend_threshold"": 0.7}, ""min_checks"": 3, ""min_strength"": 92}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 5.0}, ""market_context_strength"": {""weight"": 1.8}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
hybrid_6,"{""ema"": {""periods"": [2, 3]}, ""rsi"": {""period"": 9}, ""macd"": {""fast"": 3, ""slow"": 10, ""signal"": 4}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 20, ""multiplier"": 3.6}}","{""ema"": {""periods"": [2, 3]}, ""rsi"": {""period"": 9}, ""macd"": {""fast"": 3, ""slow"": 10, ""signal"": 4}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 20, ""multiplier"": 3.6}}","{""adaptive_trend"": {""lookback"": 45, ""volatility_factor"": 2.6}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 2.8}}","{""trend_strength"": {""min_adx"": 38}, ""volatility_regime"": {""atr_threshold"": 1.9}, ""market_regime"": {""trend_threshold"": 0.78}, ""min_checks"": 3, ""min_strength"": 88}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.8}, ""market_context_strength"": {""weight"": 1.8}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
trend_strong_9,"{""ema"": {""periods"": [2, 3, 4]}, ""macd"": {""fast"": 3, ""slow"": 7, ""signal"": 4}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [2, 3, 4]}, ""macd"": {""fast"": 3, ""slow"": 7, ""signal"": 4}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 2, ""ema_long"": 3}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 40}, ""market_regime"": {""trend_threshold"": 0.88}, ""min_checks"": 3, ""min_strength"": 90}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.8}, ""market_context_strength"": {""weight"": 1.9}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",BTCUSDT,5m
momentum_break_7,"{""rsi"": {""period"": 8}, ""stochastic"": {""k"": 8, ""d"": 3}, ""macd"": {""fast"": 3, ""slow"": 8, ""signal"": 4}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 8}, ""stochastic"": {""k"": 8, ""d"": 3}, ""macd"": {""fast"": 3, ""slow"": 8, ""signal"": 4}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 3.0}, ""range_breakout"": {""range_threshold"": 0.028}, ""overextended_reversal"": {""rsi_overbought"": 90, ""rsi_oversold"": 10}}","{""market_regime"": {""trend_threshold"": 0.8}, ""volatility_regime"": {""atr_threshold"": 2.0}, ""min_checks"": 3, ""min_strength"": 90}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.8}, ""market_context_strength"": {""weight"": 1.8}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
vol_break_7,"{""bollinger"": {""period"": 20, ""std"": 3.2}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 8}}","{""bollinger"": {""period"": 20, ""std"": 3.2}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 8}}","{""volatility_breakout"": {""atr_multiplier"": 3.2}, ""range_breakout"": {""range_threshold"": 0.028}}","{""volatility_regime"": {""atr_threshold"": 2.1}, ""market_regime"": {""trend_threshold"": 0.72}, ""min_checks"": 3, ""min_strength"": 95}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 5.2}, ""market_context_strength"": {""weight"": 1.9}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",ETHUSDT,5m
